code,name,credits,school,description,prerequisites,termAvailability,schedule,gradingBasis,examDates
IS610,Digital Transformation Strategy,1,School of Computing and Information Systems,"Frameworks for shaping digital transformation portfolios, operating models, and technology-enabled business change.",None,"{""Term 1"",""Term 2""}",Mon 7:00 PM - 10:15 PM,"Strategy memo, case analysis, group project, and presentation.",No final exam
IS611,Digital Business Models,1,School of Computing and Information Systems,"Analysis of platform, ecosystem, and data-enabled business models for digital enterprises.",None,"{""Term 1""}",Tue 7:00 PM - 10:15 PM,"Case discussions, business model canvas, and team pitch.",
IS612,Business Process Re-engineering,1,School of Computing and Information Systems,"Methods for redesigning business processes with automation, analytics, and enterprise systems.",None,"{""Term 2""}",Wed 7:00 PM - 10:15 PM,"Process mapping assignment, simulation exercise, and final report.",Take-home assessment in Week 13
IS613,Business Requirements Mapping,1,School of Computing and Information Systems,"Elicitation, modelling, and prioritisation techniques for translating business needs into digital solution requirements.",None,"{""Term 1"",""Special Term""}",Thu 7:00 PM - 10:15 PM,"Requirements portfolio, stakeholder workshop, and participation.",
IS614,Enterprise Architecture for Digital Transformation,1,School of Computing and Information Systems,"Enterprise architecture principles for aligning applications, data, infrastructure, and transformation roadmaps.",Basic information systems knowledge recommended.,"{""Term 1""}",Fri 7:00 PM - 10:15 PM,"Architecture review, group blueprint, and presentation.",No final exam
IS615,Technology Assessment,1,School of Computing and Information Systems,"Evaluation of emerging technologies for feasibility, business value, adoption risk, and implementation readiness.",None,"{""Term 2""}",Sat 9:00 AM - 12:15 PM,"Technology brief, assessment rubric, and final recommendation.",
IS616,Emerging Technology Synthesis,1,School of Computing and Information Systems,Synthesis of emerging technology trends into practical digital transformation opportunities.,None,"{""Term 1"",""Term 2""}",Mon 3:30 PM - 6:45 PM,"Trend analysis, prototype concept, and reflective essay.",No final exam
IS617,Digital Strategies,1,School of Computing and Information Systems,"Strategic planning tools for digital channels, data products, transformation governance, and value capture.",None,"{""Term 2""}",Tue 7:00 PM - 10:15 PM,"Case analysis, strategy deck, and class participation.",Final assessment during exam week
IS618,Business Intelligence and Data Analytics,1,School of Computing and Information Systems,"Use of business intelligence, dashboards, and analytics workflows to support transformation decision-making.",Introductory statistics or analytics experience recommended.,"{""Term 1""}",Wed 7:00 PM - 10:15 PM,"Analytics labs, dashboard project, and final presentation.",
IS619,Business Application of Digital Technology,1,School of Computing and Information Systems,"Applied digital technology use cases across business functions, customer journeys, and operating models.",None,"{""Term 1"",""Special Term""}",Thu 7:00 PM - 10:15 PM,"Individual assignment, group project, and reflection.",Take-home assessment in Week 13
IS620,Digital Transformation,1,School of Computing and Information Systems,Core concepts and implementation approaches for technology-led business transformation.,None,"{""Term 1""}",Fri 7:00 PM - 10:15 PM,"Case analysis, group project, and class participation.",Final assessment during exam week
IS621,Agile and DevSecOps,1,School of Computing and Information Systems,"Practices for iterative delivery, secure software operations, and modern development workflows.",Prior software project or programming experience recommended.,"{""Term 1"",""Term 2""}",Sat 1:00 PM - 4:15 PM,"Project, quizzes, participation, and final presentation.",No final exam
IS622,Text Analytics and Processing,1,School of Computing and Information Systems,Natural language processing and text analytics techniques for extracting business insight from unstructured data.,Basic programming or analytics experience recommended.,"{""Term 2""}",Mon/Wed 3:30 PM - 5:00 PM,"Labs, applied analytics project, and quiz.",
IS623,Financial Technology and Innovation,1,School of Computing and Information Systems,"Digital finance innovation, fintech platforms, payment systems, and technology-enabled financial services.",None,"{""Term 1"",""Term 2""}",Tue/Thu 12:00 PM - 1:30 PM,"Case brief, fintech concept pitch, and final report.",No final exam
IS624,Digital Marketing,1,School of Computing and Information Systems,"Digital marketing capabilities, customer analytics, campaign design, and channel transformation.",None,"{""Special Term""}",Fri 8:30 AM - 11:45 AM,"Campaign plan, analytics reflection, and group presentation.",
